7.018000000000000682e+01 7.017000000000000171e+01 7.170999999999999375e+01 7.198999999999999488e+01 7.140999999999999659e+01
7.462999999999999545e+01 6.870000000000000284e+01 7.507999999999999829e+01 7.495999999999999375e+01 7.443000000000000682e+01
7.690000000000000568e+01 6.987999999999999545e+01 7.570999999999999375e+01 7.593000000000000682e+01 7.589000000000000057e+01
7.659999999999999432e+01 7.651000000000000512e+01 7.732999999999999829e+01 7.573999999999999488e+01 7.582999999999999829e+01
7.743000000000000682e+01 7.715999999999999659e+01 7.853000000000000114e+01 7.704000000000000625e+01 7.668000000000000682e+01
7.601999999999999602e+01 7.820999999999999375e+01 7.864000000000000057e+01 7.885999999999999943e+01 7.853000000000000114e+01
7.923999999999999488e+01 7.789000000000000057e+01 7.892000000000000171e+01 7.750000000000000000e+01 7.768000000000000682e+01
7.962999999999999545e+01 7.818999999999999773e+01 7.964000000000000057e+01 7.884999999999999432e+01 7.818999999999999773e+01
7.881000000000000227e+01 7.687999999999999545e+01 7.945000000000000284e+01 7.706999999999999318e+01 7.687999999999999545e+01
7.925000000000000000e+01 7.921999999999999886e+01 7.932999999999999829e+01 7.893000000000000682e+01 7.864000000000000057e+01
