6.873000000000000398e+01 7.306000000000000227e+01 6.706000000000000227e+01 7.226999999999999602e+01 7.078000000000000114e+01 6.523999999999999488e+01
7.301000000000000512e+01 7.160999999999999943e+01 7.212999999999999545e+01 6.887999999999999545e+01 7.389000000000000057e+01 7.151999999999999602e+01
7.306999999999999318e+01 7.421999999999999886e+01 7.393999999999999773e+01 7.367000000000000171e+01 7.603000000000000114e+01 6.664000000000000057e+01
7.659000000000000341e+01 7.668999999999999773e+01 7.568999999999999773e+01 7.328000000000000114e+01 7.357999999999999829e+01 7.403000000000000114e+01
7.357999999999999829e+01 7.154000000000000625e+01 7.482999999999999829e+01 7.500000000000000000e+01 7.440999999999999659e+01 7.256999999999999318e+01
7.404000000000000625e+01 7.659000000000000341e+01 7.545999999999999375e+01 7.784999999999999432e+01 7.181999999999999318e+01 7.479999999999999716e+01
7.270999999999999375e+01 7.568999999999999773e+01 7.570000000000000284e+01 7.576999999999999602e+01 7.557999999999999829e+01 7.521999999999999886e+01
7.454999999999999716e+01 7.473000000000000398e+01 7.456999999999999318e+01 7.760999999999999943e+01 7.646999999999999886e+01 7.857999999999999829e+01
7.315000000000000568e+01 7.723000000000000398e+01 7.304000000000000625e+01 7.500000000000000000e+01 7.487000000000000455e+01 7.381000000000000227e+01
7.709999999999999432e+01 7.771999999999999886e+01 7.501999999999999602e+01 7.737000000000000455e+01 7.450000000000000000e+01 7.637000000000000455e+01
